Body
Date,Weight,BMI,Fat
"01-04-2020","71","21.2","0"
"02-04-2020","71","21.2","0"
"03-04-2020","71","21.2","0"
"04-04-2020","71","21.2","0"
"05-04-2020","71","21.2","0"
"06-04-2020","71","21.2","0"
"07-04-2020","71","21.2","0"
"08-04-2020","71","21.2","0"
"09-04-2020","71","21.2","0"
"10-04-2020","71","21.2","0"
"11-04-2020","71","21.2","0"
"12-04-2020","71","21.2","0"
"13-04-2020","71","21.2","0"
"14-04-2020","71","21.2","0"
"15-04-2020","71","21.2","0"
"16-04-2020","71","21.2","0"
"17-04-2020","71","21.2","0"
"18-04-2020","71","21.2","0"
"19-04-2020","71","21.2","0"
"20-04-2020","71","21.2","0"
"21-04-2020","71","21.2","0"
"22-04-2020","71","21.2","0"
"23-04-2020","71","21.2","0"
"24-04-2020","71","21.2","0"
"25-04-2020","71","21.2","0"
"26-04-2020","71","21.2","0"
"27-04-2020","71","21.2","0"
"28-04-2020","71","21.2","0"
"29-04-2020","71","21.2","0"
"30-04-2020","71","21.2","0"

Foods
Date,Calories In
"01-04-2020","0"
"02-04-2020","0"
"03-04-2020","0"
"04-04-2020","0"
"05-04-2020","0"
"06-04-2020","749"
"07-04-2020","0"
"08-04-2020","0"
"09-04-2020","0"
"10-04-2020","0"
"11-04-2020","0"
"12-04-2020","0"
"13-04-2020","0"
"14-04-2020","0"
"15-04-2020","0"
"16-04-2020","0"
"17-04-2020","0"
"18-04-2020","0"
"19-04-2020","0"
"20-04-2020","0"
"21-04-2020","0"
"22-04-2020","0"
"23-04-2020","0"
"24-04-2020","0"
"25-04-2020","0"
"26-04-2020","0"
"27-04-2020","0"
"28-04-2020","0"
"29-04-2020","0"
"30-04-2020","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-04-2020","2,370","3,286","2.49","6","764","200","0","0","775"
"02-04-2020","2,285","3,389","2.57","2","837","133","7","15","637"
"03-04-2020","2,319","4,183","3.17","1","800","176","0","0","728"
"04-04-2020","2,217","2,790","2.12","0","722","174","0","0","613"
"05-04-2020","2,466","4,974","3.77","1","643","160","23","12","850"
"06-04-2020","2,309","3,545","2.69","2","847","155","7","6","701"
"07-04-2020","2,475","4,982","3.7","8","699","229","0","0","917"
"08-04-2020","2,522","6,471","4.85","3","706","212","6","7","964"
"09-04-2020","2,119","2,590","1.91","2","789","149","0","0","501"
"10-04-2020","2,800","7,762","5.85","14","667","255","12","22","1,301"
"11-04-2020","2,212","2,615","1.98","4","816","152","0","0","546"
"12-04-2020","2,531","5,181","3.93","4","614","232","19","0","1,012"
"13-04-2020","2,330","4,492","3.41","10","753","152","18","8","769"
"14-04-2020","2,096","2,232","1.66","1","844","117","0","0","420"
"15-04-2020","2,220","3,326","2.51","0","833","147","0","0","581"
"16-04-2020","2,428","5,594","4.2","8","790","151","12","20","822"
"17-04-2020","2,131","2,442","1.82","2","822","135","0","0","476"
"18-04-2020","2,440","4,756","3.61","5","777","194","16","4","851"
"19-04-2020","2,520","6,342","5.68","18","680","173","2","20","926"
"20-04-2020","2,257","4,963","3.77","11","870","131","4","19","662"
"21-04-2020","2,412","5,318","4.94","14","808","144","5","20","786"
"22-04-2020","2,253","3,312","2.51","4","741","152","10","0","643"
"23-04-2020","2,379","4,997","3.79","4","1,240","189","7","4","797"
"24-04-2020","2,168","3,153","2.39","4","1,118","143","0","0","521"
"25-04-2020","2,440","4,147","3.15","4","694","192","4","7","825"
"26-04-2020","2,609","7,412","7.18","14","671","135","6","37","961"
"27-04-2020","2,216","3,389","2.57","4","801","127","9","2","556"
"28-04-2020","2,017","1,770","1.34","0","856","103","0","0","346"
"29-04-2020","2,235","3,305","2.48","5","808","146","4","9","647"
"30-04-2020","1,885","1,221","0.93","3","908","60","0","0","211"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"30-04-2020 12:27 am","30-04-2020 8:19 am","379","93","33","472","17","254","108"
"29-04-2020 12:21 am","29-04-2020 8:14 am","405","68","39","473","59","254","92"
"27-04-2020 11:57 pm","28-04-2020 7:59 am","401","80","43","481","100","211","90"
"27-04-2020 1:02 am","27-04-2020 9:23 am","415","86","40","501","69","267","79"
"26-04-2020 12:58 am","26-04-2020 10:49 am","486","105","50","591","65","323","98"
"24-04-2020 11:14 pm","25-04-2020 8:17 am","460","83","51","543","76","278","106"
"24-04-2020 5:06 am","24-04-2020 8:05 am","171","4","0","179","N/A","N/A","N/A"
"21-04-2020 11:19 pm","22-04-2020 8:17 am","460","77","44","537","74","262","124"
"20-04-2020 11:17 pm","21-04-2020 7:00 am","386","77","38","463","56","251","79"
"20-04-2020 12:56 am","20-04-2020 7:53 am","347","69","34","416","53","249","45"
"19-04-2020 1:08 am","19-04-2020 10:33 am","489","76","46","565","65","326","98"
"18-04-2020 1:05 am","18-04-2020 8:34 am","366","83","37","449","55","228","83"
