Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
31/05/2020 00:17,31/05/2020 08:10,412,61,47,473,65,249,98
30/05/2020 00:50,30/05/2020 09:33,438,85,44,523,53,252,133
28/05/2020 20:19,29/05/2020 04:33,401,93,43,494,41,270,90
27/05/2020 23:37,28/05/2020 08:12,438,76,38,514,63,292,83
27/05/2020 00:44,27/05/2020 07:56,351,81,31,432,13,255,83
26/05/2020 00:43,26/05/2020 07:11,312,76,32,388,49,185,78
25/05/2020 00:37,25/05/2020 09:46,480,69,47,549,41,364,75
24/05/2020 01:20,24/05/2020 09:21,402,79,45,481,82,201,119
22/05/2020 23:52,23/05/2020 08:52,447,93,49,540,78,230,139
22/05/2020 00:17,22/05/2020 07:54,393,63,45,456,73,229,91
20/05/2020 23:53,21/05/2020 08:24,434,76,44,510,38,320,76
19/05/2020 23:50,20/05/2020 07:58,391,96,34,487,56,244,91
19/05/2020 00:30,19/05/2020 08:01,382,69,35,451,33,249,100
18/05/2020 00:11,18/05/2020 07:52,370,91,33,461,44,258,68
17/05/2020 01:45,17/05/2020 10:10,412,93,38,505,55,248,109
16/05/2020 01:00,16/05/2020 08:58,394,84,37,478,65,226,103
15/05/2020 00:24,15/05/2020 07:49,369,75,36,444,57,225,87
14/05/2020 00:09,14/05/2020 07:54,392,73,38,465,56,242,94
13/05/2020 00:10,13/05/2020 07:50,389,71,40,460,61,259,69
12/05/2020 00:06,12/05/2020 08:05,400,79,41,479,40,268,92
11/05/2020 00:41,11/05/2020 08:07,347,99,31,446,45,206,96
10/05/2020 01:37,10/05/2020 09:24,403,63,46,466,50,251,102
09/05/2020 09:21,09/05/2020 10:23,54,8,0,62,N/A,N/A,N/A
08/05/2020 00:54,08/05/2020 09:57,450,92,43,542,58,296,96
06/05/2020 23:48,07/05/2020 07:39,400,71,36,471,69,268,63
05/05/2020 23:26,06/05/2020 07:42,422,74,34,496,82,240,100
05/05/2020 00:07,05/05/2020 08:05,387,91,45,478,48,247,92
04/05/2020 00:44,04/05/2020 08:20,375,81,36,456,97,181,97
03/05/2020 01:01,03/05/2020 10:02,460,81,46,541,39,285,136
02/05/2020 00:58,02/05/2020 10:01,449,93,56,542,37,324,88
30/04/2020 23:25,01/05/2020 08:15,444,86,40,530,58,344,42
