Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
24/12/2019 01:13,24/12/2019 09:01,388,80,37,468,71,248,69
23/12/2019 03:07,23/12/2019 10:21,379,55,31,434,66,227,86
22/12/2019 02:55,22/12/2019 10:13,380,58,34,438,76,218,86
20/12/2019 23:10,21/12/2019 07:23,415,78,39,493,69,264,82
20/12/2019 15:54,20/12/2019 20:49,261,34,15,295,32,148,81
20/12/2019 03:00,20/12/2019 05:29,140,8,0,148,N/A,N/A,N/A
18/12/2019 23:37,19/12/2019 07:11,376,78,36,454,37,265,74
17/12/2019 23:45,18/12/2019 07:20,389,66,38,455,64,249,76
16/12/2019 23:37,17/12/2019 07:28,393,78,36,471,76,224,93
15/12/2019 23:53,16/12/2019 07:30,385,72,38,457,43,273,69
15/12/2019 01:16,15/12/2019 10:28,472,80,44,552,58,324,90
14/12/2019 00:59,14/12/2019 08:56,408,69,40,477,60,254,94
12/12/2019 23:32,13/12/2019 06:10,358,40,37,398,63,215,80
12/12/2019 00:26,12/12/2019 10:16,498,92,41,590,88,333,77
10/12/2019 23:30,11/12/2019 07:32,416,66,41,482,52,265,99
10/12/2019 00:32,10/12/2019 07:34,365,57,30,422,70,232,63
08/12/2019 22:56,09/12/2019 07:28,435,77,38,512,73,306,56
08/12/2019 02:11,08/12/2019 10:42,450,61,36,511,64,303,83
07/12/2019 01:15,07/12/2019 09:19,409,75,46,484,20,327,62
05/12/2019 22:49,06/12/2019 07:35,450,76,39,526,60,328,62
03/12/2019 23:12,04/12/2019 07:22,407,83,39,490,40,286,81
02/12/2019 23:24,03/12/2019 07:31,410,77,34,487,99,218,93
01/12/2019 23:05,02/12/2019 07:20,426,69,37,495,80,274,72
01/12/2019 00:18,01/12/2019 08:56,467,51,38,518,103,267,97
