Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
28/07/2020 00:03,28/07/2020 07:58,387,88,34,475,37,264,86
27/07/2020 02:48,27/07/2020 08:24,291,45,28,336,60,154,77
26/07/2020 00:56,26/07/2020 08:53,407,70,48,477,67,249,91
25/07/2020 03:36,25/07/2020 10:20,348,56,27,404,74,191,83
24/07/2020 00:59,24/07/2020 07:41,329,72,32,401,66,186,77
23/07/2020 00:14,23/07/2020 07:51,398,59,31,457,53,279,66
22/07/2020 00:13,22/07/2020 07:41,382,66,38,448,63,210,109
21/07/2020 00:22,21/07/2020 08:15,400,72,32,472,67,216,117
20/07/2020 00:17,20/07/2020 08:01,387,77,39,464,69,242,76
19/07/2020 01:02,19/07/2020 10:14,470,82,48,552,60,286,124
18/07/2020 00:19,18/07/2020 08:55,430,86,48,516,57,270,103
17/07/2020 00:40,17/07/2020 07:56,361,75,34,436,49,218,94
16/07/2020 00:48,16/07/2020 08:01,362,71,33,433,59,211,92
15/07/2020 00:34,15/07/2020 07:33,343,76,31,419,25,219,99
14/07/2020 00:24,14/07/2020 08:04,409,51,43,460,93,239,77
12/07/2020 23:41,13/07/2020 08:16,451,63,39,514,76,284,91
11/07/2020 20:33,12/07/2020 06:12,481,98,53,579,82,262,137
11/07/2020 03:12,11/07/2020 10:45,398,55,37,453,93,224,81
10/07/2020 00:37,10/07/2020 07:45,366,62,39,428,77,194,95
08/07/2020 23:56,09/07/2020 07:54,415,63,43,478,69,239,107
08/07/2020 01:05,08/07/2020 08:14,351,77,21,428,60,191,100
07/07/2020 00:39,07/07/2020 08:09,395,55,35,450,67,263,65
06/07/2020 01:17,06/07/2020 08:10,347,66,28,413,27,240,80
05/07/2020 00:43,05/07/2020 08:51,409,79,35,488,28,289,92
04/07/2020 01:02,04/07/2020 08:50,378,90,29,468,63,243,72
03/07/2020 01:09,03/07/2020 08:29,368,72,33,440,40,242,86
02/07/2020 01:44,02/07/2020 08:46,375,47,27,422,19,281,75
01/07/2020 01:00,01/07/2020 08:25,381,64,35,445,80,238,63
