Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
29/02/2020 00:45,29/02/2020 09:30,461,64,45,525,89,288,84
27/02/2020 22:51,28/02/2020 07:30,445,73,42,518,87,250,108
26/02/2020 23:47,27/02/2020 08:18,435,75,37,510,58,274,103
26/02/2020 01:59,26/02/2020 06:59,265,35,21,300,57,163,45
25/02/2020 00:42,25/02/2020 09:24,441,81,32,522,96,274,71
24/02/2020 01:35,24/02/2020 09:31,392,84,37,476,60,224,108
23/02/2020 02:55,23/02/2020 09:23,330,58,39,388,55,196,79
22/02/2020 00:59,22/02/2020 09:50,467,64,53,531,107,271,89
21/02/2020 00:45,21/02/2020 08:55,419,71,39,490,71,262,86
19/02/2020 21:23,20/02/2020 06:39,464,92,45,556,79,302,83
18/02/2020 23:42,19/02/2020 07:29,398,69,35,467,33,293,72
18/02/2020 00:12,18/02/2020 07:39,366,81,29,447,52,225,89
16/02/2020 23:04,17/02/2020 07:13,383,106,37,489,38,289,56
16/02/2020 03:34,16/02/2020 10:57,387,55,33,442,58,230,99
14/02/2020 23:46,15/02/2020 08:16,437,73,42,510,111,248,78
13/02/2020 22:49,14/02/2020 06:32,398,65,42,463,67,241,90
13/02/2020 00:25,13/02/2020 08:34,430,59,32,489,76,277,77
11/02/2020 23:18,12/02/2020 07:29,413,77,38,490,97,251,65
10/02/2020 23:41,11/02/2020 07:38,412,65,36,477,44,314,54
09/02/2020 23:31,10/02/2020 07:36,415,70,40,485,46,318,51
08/02/2020 23:41,09/02/2020 09:05,465,98,36,563,80,328,57
08/02/2020 17:15,08/02/2020 18:19,52,12,0,64,N/A,N/A,N/A
07/02/2020 23:05,08/02/2020 08:03,447,90,47,537,69,301,77
06/02/2020 23:44,07/02/2020 02:05,137,4,0,141,N/A,N/A,N/A
06/02/2020 00:14,06/02/2020 07:25,380,51,41,431,56,275,49
04/02/2020 23:33,05/02/2020 07:24,407,63,41,470,69,247,91
04/02/2020 00:17,04/02/2020 07:28,366,65,37,431,63,258,45
02/02/2020 23:22,03/02/2020 07:21,404,75,40,479,68,236,100
01/02/2020 22:25,02/02/2020 09:54,576,113,43,689,103,401,72
