Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
30/03/2020 23:53,31/03/2020 07:46,412,61,39,473,88,254,70
29/03/2020 23:44,30/03/2020 07:44,390,90,29,480,49,259,82
28/03/2020 23:18,29/03/2020 10:05,495,92,51,587,90,289,116
28/03/2020 01:05,28/03/2020 09:54,461,68,46,529,88,275,98
26/03/2020 23:14,27/03/2020 07:00,405,60,42,465,51,278,76
25/03/2020 23:20,26/03/2020 07:26,409,77,38,486,68,259,82
24/03/2020 22:59,25/03/2020 07:56,449,88,50,537,45,342,62
23/03/2020 23:38,24/03/2020 07:40,409,73,37,482,76,245,88
22/03/2020 23:21,23/03/2020 07:34,401,91,37,492,45,296,60
22/03/2020 00:37,22/03/2020 08:26,376,93,37,469,27,276,73
21/03/2020 00:02,21/03/2020 09:28,481,84,58,565,108,255,118
19/03/2020 23:17,20/03/2020 08:11,465,69,46,534,94,267,104
18/03/2020 23:23,19/03/2020 07:41,426,72,45,498,39,314,73
17/03/2020 23:00,18/03/2020 07:42,438,84,45,522,82,280,76
16/03/2020 22:57,17/03/2020 07:43,452,74,45,526,66,296,90
15/03/2020 23:28,16/03/2020 06:28,356,64,32,420,60,211,85
15/03/2020 00:18,15/03/2020 09:53,477,98,49,575,75,291,111
13/03/2020 22:19,14/03/2020 08:44,538,87,56,625,119,342,77
13/03/2020 00:01,13/03/2020 08:07,413,72,41,485,45,272,96
11/03/2020 23:09,12/03/2020 07:26,423,74,39,497,103,207,113
10/03/2020 23:26,11/03/2020 06:46,368,71,36,439,100,179,89
09/03/2020 22:48,10/03/2020 07:01,382,111,30,493,99,208,75
08/03/2020 23:39,09/03/2020 06:54,351,84,26,435,64,227,60
08/03/2020 01:12,08/03/2020 09:16,408,76,34,484,69,257,82
07/03/2020 00:10,07/03/2020 11:46,563,133,46,696,102,370,91
05/03/2020 22:59,06/03/2020 04:14,252,63,24,315,25,194,33
05/03/2020 18:58,05/03/2020 20:41,102,1,0,103,N/A,N/A,N/A
04/03/2020 23:05,05/03/2020 07:42,437,79,36,516,77,251,109
04/03/2020 00:28,04/03/2020 07:28,357,63,30,420,59,218,80
02/03/2020 23:48,03/03/2020 08:50,425,117,36,542,45,307,73
01/03/2020 23:41,02/03/2020 07:38,389,88,26,477,72,220,97
01/03/2020 01:52,01/03/2020 10:14,430,71,30,501,52,278,100
