Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
29/09/2019 23:01,30/09/2019 07:53,445,87,33,532,65,318,62
28/09/2019 23:32,29/09/2019 08:43,467,84,39,551,101,277,89
27/09/2019 23:39,28/09/2019 10:23,498,146,39,644,88,315,95
26/09/2019 23:06,27/09/2019 07:27,437,64,35,501,63,312,62
26/09/2019 00:34,26/09/2019 08:14,384,76,42,460,43,266,75
24/09/2019 23:44,25/09/2019 07:23,382,76,33,458,57,236,89
23/09/2019 23:34,24/09/2019 07:17,381,82,31,463,70,230,81
22/09/2019 21:27,23/09/2019 07:30,488,115,55,603,47,392,49
22/09/2019 01:05,22/09/2019 09:04,407,72,40,479,93,207,107
21/09/2019 16:01,21/09/2019 17:07,59,1,0,65,N/A,N/A,N/A
21/09/2019 00:09,21/09/2019 08:57,444,84,42,528,61,282,101
19/09/2019 23:04,20/09/2019 07:26,425,77,37,502,33,323,69
19/09/2019 01:10,19/09/2019 08:19,350,79,33,429,17,285,48
17/09/2019 22:43,18/09/2019 07:27,429,95,35,524,42,302,85
17/09/2019 00:22,17/09/2019 07:21,324,94,21,418,33,237,54
15/09/2019 23:45,16/09/2019 07:05,383,57,31,440,61,229,93
15/09/2019 02:34,15/09/2019 09:19,358,47,34,405,46,225,87
13/09/2019 23:29,14/09/2019 09:14,464,121,45,585,5,353,106
12/09/2019 22:54,13/09/2019 07:13,421,78,30,499,88,279,54
11/09/2019 23:47,12/09/2019 07:10,379,63,37,442,31,293,55
10/09/2019 22:41,11/09/2019 07:13,423,89,37,512,62,262,99
09/09/2019 23:29,10/09/2019 07:27,401,77,33,478,66,251,84
08/09/2019 23:16,09/09/2019 07:29,413,80,37,493,57,229,127
08/09/2019 00:27,08/09/2019 08:43,427,69,38,496,59,250,118
06/09/2019 23:10,07/09/2019 08:22,471,81,46,552,78,302,91
05/09/2019 22:40,06/09/2019 06:38,427,51,37,478,104,248,75
04/09/2019 23:33,05/09/2019 07:15,389,73,35,462,61,289,39
03/09/2019 21:58,04/09/2019 07:18,468,91,41,559,91,277,100
02/09/2019 23:19,03/09/2019 07:10,382,88,36,470,32,287,63
01/09/2019 22:41,02/09/2019 06:48,431,55,38,486,71,309,51
