Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
30/06/2020 01:15,30/06/2020 08:27,374,58,24,432,108,181,85
28/06/2020 23:32,29/06/2020 07:40,416,72,41,488,110,197,109
28/06/2020 01:41,28/06/2020 10:05,413,91,41,504,53,262,98
27/06/2020 00:39,27/06/2020 08:08,354,95,30,449,67,191,96
25/06/2020 23:07,26/06/2020 07:11,416,68,42,484,61,258,97
24/06/2020 23:31,25/06/2020 06:45,379,55,31,434,66,256,57
23/06/2020 23:36,24/06/2020 07:03,363,84,31,447,40,224,99
23/06/2020 00:06,23/06/2020 08:22,412,84,38,496,51,274,87
21/06/2020 23:58,22/06/2020 07:02,361,63,32,424,96,170,95
20/06/2020 23:56,21/06/2020 08:35,436,83,45,519,91,254,91
19/06/2020 23:19,20/06/2020 09:55,513,123,54,636,51,326,136
18/06/2020 23:57,19/06/2020 07:46,410,59,37,469,63,279,68
18/06/2020 00:33,18/06/2020 08:30,414,63,40,477,31,300,83
16/06/2020 21:10,17/06/2020 06:05,429,105,36,534,71,248,110
15/06/2020 22:51,16/06/2020 04:01,251,59,24,310,18,169,64
15/06/2020 00:02,15/06/2020 08:13,425,66,41,491,56,293,76
14/06/2020 00:21,14/06/2020 08:57,435,81,47,516,77,250,108
13/06/2020 00:34,13/06/2020 09:19,455,69,45,524,67,256,132
11/06/2020 23:30,12/06/2020 07:41,431,60,40,491,80,234,117
11/06/2020 00:44,11/06/2020 07:59,369,65,40,434,41,240,88
10/06/2020 00:24,10/06/2020 07:58,379,74,35,453,35,259,85
08/06/2020 23:37,09/06/2020 08:00,415,87,39,502,47,282,86
07/06/2020 23:57,08/06/2020 06:49,320,92,30,412,66,183,71
07/06/2020 01:35,07/06/2020 10:16,422,99,37,521,67,269,86
06/06/2020 00:49,06/06/2020 08:40,404,67,39,471,66,232,106
04/06/2020 23:43,05/06/2020 07:57,410,84,41,494,36,288,86
03/06/2020 12:33,03/06/2020 20:20,390,77,43,467,72,229,89
03/06/2020 00:11,03/06/2020 07:46,375,80,40,455,46,237,92
02/06/2020 00:14,02/06/2020 08:01,398,69,37,467,45,247,106
31/05/2020 23:49,01/06/2020 07:05,381,54,39,435,67,216,98
