Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
30/10/2019 23:35,31/10/2019 06:30,359,56,30,415,48,251,60
29/10/2019 23:46,30/10/2019 07:11,376,69,27,445,49,267,60
29/10/2019 00:07,29/10/2019 07:19,375,57,32,432,34,267,74
27/10/2019 23:18,28/10/2019 07:19,402,79,38,481,58,245,99
27/10/2019 01:15,27/10/2019 08:20,375,50,22,425,92,222,61
25/10/2019 23:27,26/10/2019 07:51,429,75,32,504,31,301,97
24/10/2019 22:42,25/10/2019 06:48,409,77,44,486,84,253,72
24/10/2019 00:09,24/10/2019 06:17,330,38,26,368,11,255,64
22/10/2019 23:25,23/10/2019 07:14,382,87,31,469,36,258,88
21/10/2019 23:45,22/10/2019 07:59,398,95,32,493,61,263,74
20/10/2019 22:37,21/10/2019 07:27,453,77,38,530,78,278,97
20/10/2019 00:09,20/10/2019 09:49,473,107,44,580,38,348,87
19/10/2019 00:08,19/10/2019 08:51,443,79,36,522,74,295,74
17/10/2019 23:23,18/10/2019 06:49,383,62,33,445,60,231,92
16/10/2019 23:59,17/10/2019 07:23,384,60,34,444,56,222,106
15/10/2019 23:14,16/10/2019 07:22,398,90,34,488,70,265,63
15/10/2019 00:00,15/10/2019 08:07,416,71,28,487,53,286,77
13/10/2019 23:24,14/10/2019 07:13,396,73,31,469,52,286,58
08/10/2019 22:57,09/10/2019 07:10,399,93,36,492,73,280,46
07/10/2019 23:39,08/10/2019 07:27,383,85,33,468,38,298,47
06/10/2019 23:10,07/10/2019 07:25,438,57,40,495,66,288,84
06/10/2019 03:07,06/10/2019 08:25,289,29,27,318,34,192,63
05/10/2019 00:12,05/10/2019 10:05,525,68,51,593,89,297,139
03/10/2019 23:28,04/10/2019 07:09,398,63,37,461,69,217,112
02/10/2019 23:30,03/10/2019 07:34,425,59,39,484,77,265,83
01/10/2019 23:19,02/10/2019 07:08,403,66,42,469,55,253,95
30/09/2019 23:33,01/10/2019 07:25,391,80,31,471,84,238,69
