Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
22/08/2020 00:30,22/08/2020 09:16,457,69,35,526,75,319,63
21/08/2020 01:37,21/08/2020 07:56,310,69,23,379,40,211,59
19/08/2020 15:55,20/08/2020 00:44,442,87,45,529,81,315,46
19/08/2020 00:46,19/08/2020 08:11,379,66,39,445,96,199,84
18/08/2020 01:22,18/08/2020 09:06,401,63,34,464,77,226,98
16/08/2020 22:39,17/08/2020 08:14,467,108,42,575,61,322,84
16/08/2020 02:11,16/08/2020 10:30,444,55,37,499,74,285,85
15/08/2020 02:55,15/08/2020 09:03,329,39,24,368,61,210,58
14/08/2020 01:19,14/08/2020 07:35,303,73,25,376,21,201,81
12/08/2020 22:32,13/08/2020 08:10,458,120,42,578,23,374,61
12/08/2020 00:28,12/08/2020 08:15,394,72,43,466,32,289,73
11/08/2020 01:31,11/08/2020 09:06,398,57,43,455,57,263,78
08/08/2020 22:50,09/08/2020 10:29,596,103,65,699,100,437,59
07/08/2020 23:47,08/08/2020 07:54,429,57,43,486,81,259,89
07/08/2020 01:12,07/08/2020 07:49,338,59,39,397,60,185,93
06/08/2020 00:07,06/08/2020 09:07,444,96,46,540,26,340,78
04/08/2020 23:51,05/08/2020 10:15,519,105,51,624,108,293,118
