Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
30/01/2020 22:44,31/01/2020 07:30,452,74,41,526,71,274,107
29/01/2020 22:57,30/01/2020 08:39,488,93,44,581,53,321,114
28/01/2020 23:42,29/01/2020 07:29,378,89,39,467,13,284,81
27/01/2020 23:41,28/01/2020 07:32,413,57,38,470,84,278,51
26/01/2020 23:52,27/01/2020 07:39,405,62,38,467,96,234,75
26/01/2020 01:24,26/01/2020 10:40,503,53,48,556,84,364,55
25/01/2020 01:19,25/01/2020 09:19,417,63,43,480,74,235,108
23/01/2020 22:52,24/01/2020 07:28,420,96,40,516,70,269,81
23/01/2020 02:41,23/01/2020 09:00,314,65,24,379,16,233,65
21/01/2020 23:52,22/01/2020 07:38,403,63,30,466,69,309,25
21/01/2020 00:28,21/01/2020 07:21,357,55,32,412,65,222,70
19/01/2020 23:07,20/01/2020 07:26,423,76,44,499,54,269,100
19/01/2020 01:42,19/01/2020 08:25,347,56,35,403,35,231,81
18/01/2020 00:03,18/01/2020 08:10,427,60,44,487,71,280,76
16/01/2020 22:53,17/01/2020 06:28,398,56,35,454,31,302,65
16/01/2020 00:38,16/01/2020 05:32,233,61,24,294,21,161,51
14/01/2020 23:45,15/01/2020 07:32,397,69,32,466,30,281,86
13/01/2020 23:15,14/01/2020 07:25,429,61,39,490,75,291,63
12/01/2020 22:41,13/01/2020 07:07,452,53,48,505,59,314,79
11/01/2020 22:40,12/01/2020 08:41,524,77,53,601,143,257,124
11/01/2020 02:01,11/01/2020 09:19,386,51,34,437,66,199,121
10/01/2020 01:27,10/01/2020 09:35,420,68,37,488,89,233,98
09/01/2020 01:00,09/01/2020 08:39,389,70,35,459,70,237,82
08/01/2020 00:45,08/01/2020 09:50,464,80,39,544,38,322,104
06/01/2020 23:32,07/01/2020 10:07,500,135,42,635,107,296,97
06/01/2020 02:12,06/01/2020 09:54,384,78,34,462,51,241,92
05/01/2020 09:07,05/01/2020 12:47,170,50,15,220,8,115,47
