id,name,description,avatar_url,cover_image_url,type,members
19462cb0-6ad0-11e6-80ae-5f6738d79739,Cycling,,,,Open group,
24cd6080-6ad0-11e6-80ae-5f6738d79739,Sleep Well,,,,Open group,
a68938c0-e65c-11e7-aa4a-f122332c859b,United Kingdom,,,,Open group,
